X,Y,OBJECTID,ASSETID,TREEID,ASSETCODE,OWNER,INSTYR,INSTYRCONF,MAT,MATCONF,LOCGEN,HRMINTRST,WIRES,SP_SCIEN,SP_COMM,DBH,SIZE2UNIT,SIZE2CONF,ASSETSTAT,INSTDATE,LOCATION,MAINTBY,FCODE,ADDDATE,MODDATE,SDATE,SOURCE,SACC
-63.5890808729999,44.6326334840001,9559586,TRE131121,TRE131121,TRE,HRM,,,WOOD,1,ROW,Y,N,TI,TI,2,MM,2,INS,,REGINA TERR FROM BELLEVUE AVE TO BEAUFORT AVE,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.589118363,44.6347471770001,9559587,TRE131289,TRE131289,TRE,HRM,,,WOOD,1,ROW,Y,Y,ACPL,ACPL,5,MM,2,INS,,MURRAY PL FROM CARTARET ST TO STUDLEY AVE,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.575675986,44.6236769110001,9559588,TRE131026,TRE131026,TRE,HRM,,,WOOD,1,ROW,Y,N,ACRU,ACRU,3,MM,2,INS,,INGLEWOOD DR FROM FRANCKLYN ST TO END,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.574965657,44.6357020880001,9559589,TRE131539,TRE131539,TRE,HRM,,,WOOD,1,ROW,Y,Y,TI,TI,3,MM,2,INS,,LUCKNOW ST FROM RHULAND ST TO VICTORIA RD,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.5868437629999,44.634694192,9559590,TRE131316,TRE131316,TRE,HRM,,,WOOD,1,ROW,Y,Y,TI,TI,5,MM,2,INS,,WATERLOO ST FROM OAKLAND RD TO FRASER ST,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.596377779,44.6372500460001,9559591,TRE130122,TRE130122,TRE,HRM,,,WOOD,1,ROW,Y,Y,ULAM,ULAM,5,MM,2,INS,,OXFORD ST FROM CASTINE WAY TO COBURG RD,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.575080349,44.635448646,9559592,TRE131536,TRE131536,TRE,HRM,,,WOOD,1,ROW,Y,Y,ULAM,ULAM,5,MM,2,INS,,RHULAND ST FROM LUCKNOW ST TO SOUTH PARK ST,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.592791345,44.6450332490001,9559593,TRE130350,TRE130350,TRE,HRM,,,WOOD,1,ROW,Y,Y,ACPL,ACPL,5,MM,2,INS,,SHIRLEY ST FROM VERNON ST TO GARDEN ST,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.57615759,44.6350320540001,9559594,TRE131670,TRE131670,TRE,HRM,,,WOOD,1,ROW,Y,Y,ULAM,ULAM,3,MM,2,INS,,SOUTH PARK ST FROM YOUNG AVE TO RHULAND ST,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.5887238569999,44.6335564440001,9559595,TRE131161,TRE131161,TRE,HRM,,,WOOD,1,ROW,Y,N,QUAL,QUAL,2,MM,2,INS,,OAKLAND RD FROM CARTARET ST TO STUDLEY AVE,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.573649111,44.6330337690001,9559596,TRE131431,TRE131431,TRE,HRM,,,WOOD,1,ROW,Y,N,UNO,UNO,,M,2,OUT,,MCLEAN ST FROM ATLANTIC ST TO INGLIS ST,HRM,LCST,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.5892099399999,44.632480087,9559597,TRE131084,TRE131084,TRE,HRM,,,WOOD,1,ROW,Y,Y,ACRU,ACRU,2,MM,2,INS,,REGINA TERR FROM BELLEVUE AVE TO BEAUFORT AVE,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
